analyst_id,ticker,reports,quarters,points,pts_est,error_rate,accuracy
Spekoliunas,PANW,Mar-01,18.00,359.00,19.90,0.04,0.66
Spekoliunas,HPQ,Feb-23,18.00,341.00,18.90,0.04,0.63
Spekoliunas,ZUMZ,Mar-10,18.00,269.00,14.90,0.15,0.66
Spekoliunas,CCL,Jan-25,18.00,345.00,19.20,0.18,0.65
Spekoliunas,GME,Dec-08,18.00,165.00,9.20,0.22,0.61
Spekoliunas,BKNG,Mar-02,18.00,353.00,19.60,0.08,0.66
Spekoliunas,LULU,Dec-09,18.00,432.00,24.00,0.05,0.72
Spekoliunas,WMT,Feb-17,18.00,290.00,16.10,0.02,0.66
Spekoliunas,RTX,Jan-25,18.00,404.00,22.40,0.06,0.63
Spekoliunas,NKE,Dec-20,18.00,340.00,18.90,0.10,0.63
Spekoliunas,SYNA,Feb-10,18.00,269.00,14.90,0.05,0.66
Spekoliunas,GPRO,Feb-03,18.00,271.00,15.10,0.25,0.63
Spekoliunas,MSI,Feb-03,18.00,443.00,24.60,0.03,0.70
Spekoliunas,SATS,Feb-24,18.00,215.00,11.90,0.37,0.53
Spekoliunas,FFIV,Jan-26,18.00,324.00,18.00,0.02,0.60
Spekoliunas,PENN,Feb-03,18.00,221.00,12.30,0.22,0.61
Spekoliunas,SWBI,Mar-03,18.00,201.00,11.20,0.21,0.55
MTS_Insights,FUL,Jan-26,3.00,5.00,1.70,0.05,0.53
MTS_Insights,SWKS,Jan-27,3.00,49.00,16.30,0.01,0.66
MTS_Insights,JNJ,Jan-25,3.00,48.00,16.00,0.02,0.68
MTS_Insights,WYNN,Feb-10,3.00,44.00,14.70,0.18,0.69
MTS_Insights,JAKK,Feb-24,2.00,-2.00,-1.00,0.27,0.41
MTS_Insights,MAR,Feb-16,2.00,44.00,22.00,0.02,0.76
MTS_Insights,MCD,Jan-24,2.00,19.00,9.50,0.01,0.48
MTS_Insights,TEN,Feb-08,2.00,2.00,1.00,0.30,0.54
MTS_Insights,GCI,Feb-24,2.00,41.00,20.50,0.30,0.69
MTS_Insights,VIAC,Feb-17,2.00,47.00,23.50,0.02,0.73
MTS_Insights,FOXA,Feb-09,2.00,21.00,10.50,0.06,0.52
MTS_Insights,KBH,Jan-12,2.00,38.00,19.00,0.07,0.62
MTS_Insights,JACK,Feb-23,2.00,25.00,12.50,0.03,0.61
MTS_Insights,LVS,Jan-26,2.00,7.00,3.50,0.08,0.27
MTS_Insights,PEP,Feb-10,2.00,36.00,18.00,0.01,0.59
MTS_Insights,NKE,Dec-20,2.00,7.00,3.50,0.05,0.67
MTS_Insights,MKC,Jan-27,2.00,17.00,8.50,0.02,0.60
MTS_Insights,MNST,Mar-02,2.00,9.00,4.50,0.05,0.36
MTS_Insights,OXM,Dec-08,2.00,19.00,9.50,0.03,0.42
MTS_Insights,LULU,Dec-09,2.00,31.00,15.50,0.03,0.60
MTS_Insights,NWSA,Feb-10,2.00,23.00,11.50,0.14,0.72
MTS_Insights,DIS,Feb-08,2.00,0.00,0.00,0.13,0.53
MTS_Insights,ALB,Feb-16,2.00,34.00,17.00,0.03,0.60
MTS_Insights,DISCA,Mar-01,2.00,68.00,34.00,0.11,0.71
MTS_Insights,WW,Mar-01,2.00,52.00,26.00,0.29,0.74
MTS_Insights,RAD,Dec-21,2.00,6.00,3.00,0.50,0.55
MTS_Insights,ELY,Feb-09,2.00,39.00,19.50,0.11,0.51
MTS_Insights,WBA,Jan-06,2.00,8.00,4.00,0.02,0.56
MTS_Insights,PG,Jan-25,2.00,34.00,17.00,0.01,0.62
MTS_Insights,PVH,Mar-30,2.00,17.00,8.50,0.03,0.36
Canaccord_188,SHOP,Feb-16,11.00,102.00,9.30,0.34,0.44
Canaccord_188,VEEV,Mar-01,11.00,53.00,4.80,0.08,0.31
Canaccord_188,ZEN,Feb-08,11.00,117.00,10.60,0.19,0.50
Canaccord_188,AZPN,Jan-26,10.00,88.00,8.80,0.16,0.49
Canaccord_188,PAYC,Feb-08,10.00,-105.00,-10.50,0.11,0.13
Canaccord_188,SPSC,Feb-08,8.00,178.00,22.30,0.06,0.64
Canaccord_188,QTWO,Feb-16,8.00,-51.00,-6.40,0.48,0.27
Canaccord_188,DBX,Feb-24,7.00,14.00,2.00,0.11,0.37
Canaccord_188,EVBG,Feb-22,7.00,1.00,0.10,0.42,0.27
Canaccord_188,BAND,Feb-24,7.00,-55.00,-7.90,0.58,0.18
Canaccord_188,SAIL,Feb-24,7.00,0.00,0.00,0.53,0.21
Canaccord_188,NOW,Jan-26,7.00,-18.00,-2.60,0.09,0.16
Canaccord_188,HUBS,Feb-15,7.00,95.00,13.60,0.16,0.42
Canaccord_188,TEAM,Jan-20,7.00,85.00,12.10,0.09,0.36
Canaccord_188,TWLO,Feb-15,7.00,0.00,0.00,0.50,0.18
Canaccord_188,MDB,Mar-16,6.00,-4.00,-0.70,0.39,0.23
Canaccord_188,CRM,Mar-01,6.00,22.00,3.70,0.20,0.30
Canaccord_188,ADSK,Mar-03,6.00,65.00,10.80,0.04,0.39
Canaccord_188,WDAY,Feb-28,6.00,6.00,1.00,0.13,0.27
Canaccord_188,OKTA,Mar-10,6.00,-58.00,-9.70,0.39,0.10
Canaccord_188,PLAN,Mar-02,6.00,4.00,0.70,0.28,0.19
Canaccord_188,SMAR,Mar-22,6.00,50.00,8.30,0.47,0.19
Canaccord_188,ESTC,Mar-02,6.00,46.00,7.70,0.47,0.29
Canaccord_188,AVLR,Feb-16,6.00,17.00,2.60,0.42,0.31
